Item,Order Date,Sales,Profit
Legumes,12/9/2017,178110.24,8905.512
Soft_Drinks,12/9/2017,132831.16,27894.5436
Breads,7/16/2018,182055.72,14564.4576
Eggs,9/25/2016,206668,93000.6
Fresh_Vegetables,1/16/2017,379893.36,37989.336
Soft_Drinks,1/16/2017,101643.08,8131.4464
Cakes,9/17/2016,183934.52,75413.1532
Spices,9/17/2016,373505.44,164342.3936
Cookies,9/17/2016,185813.32,13006.9324
Fish,9/17/2016,346638.6,31197.474
Eggs,9/17/2016,263032,78909.6
Noodles,9/17/2016,406384.44,125979.1764
Chocolates,9/17/2016,317329.32,63465.864
Meat,10/19/2018,151994.92,15199.492
Spices,12/8/2017,237668.2,106950.69
Edible_Oil,12/8/2017,175479.92,10528.7952
Spices,12/27/2016,254389.52,83948.5416
Salt,12/27/2016,328977.88,52636.4608
Breads,12/27/2016,384214.6,165212.278
Noodles,12/27/2016,124000.8,17360.112
Health_Drinks,9/10/2018,350959.84,115816.7472
Health_Drinks,7/17/2017,323817.4427,64965.1464
Eggs,9/17/2016,339288.0187,84150.83801
Rice,9/17/2016,354758.5947,85809.67687
Fresh_Fruits,10/19/2018,370229.1707,69733.5408
Health_Drinks,12/8/2017,385699.7467,55834.1784
Chocolates,12/8/2017,401170.3227,36749.328
Cookies,12/27/2016,416640.8987,167070.4112
Biscuits,12/27/2016,432111.4747,31902.024
Soft_Drinks,12/27/2016,447582.0507,83514.5388
Legumes,12/28/2016,463052.6267,144494.7504
Soft_Drinks,12/29/2016,478523.2027,54481.4424
Organic_Vegetables,12/30/2016,493993.7787,146873.3112
Edible_Oil,12/31/2016,509464.3547,163399.236
Salt,1/1/2017,524934.9307,18600.12
Health_Drinks,1/2/2017,540405.5067,175633.9816
Eggs,1/3/2017,555876.0827,7778.232
Soft_Drinks,1/4/2017,571346.6587,126014.8736
Organic_Vegetables,1/5/2017,587441.8156,69977.7848
Fresh_Fruits,1/6/2017,603064.5118,117969.852
Chicken,1/7/2017,618687.2081,137302.704
Health_Drinks,1/8/2017,634309.9043,45322.2924
Soft_Drinks,1/9/2017,649932.6006,85791.6444
Cookies,1/10/2017,665555.2968,36666.6608
Legumes,1/11/2017,681177.993,54644.898
Soft_Drinks,7/16/2018,696800.6893,52211.852
Chicken,9/25/2016,712423.3855,18957.092
Health_Drinks,1/16/2017,728046.0818,124571.9552
Soft_Drinks,1/16/2017,743668.778,46406.36
Cookies,9/17/2016,759291.4742,40288.9872
Legumes,9/17/2016,774914.1705,82667.2
Soft_Drinks,9/17/2016,790536.8667,17623.144
Salt,9/17/2016,806159.563,43163.5512
Soft_Drinks,9/17/2016,821782.2592,26284.412
