Item,Order Date,Sales,Profit
Salt,11/08/2017,235601.52,75392.4864
Health_Drinks,11/08/2017,140722.12,28144.424
Flour,06/12/2017,443396.8,31037.776
Fresh_Vegetables,10/11/2016,168340.48,16834.048
Organic_Staples,10/11/2016,442457.4,172558.386
Organic_Staples,06/09/2015,433063.4,60628.876
Fresh_Vegetables,06/09/2015,155188.88,65179.3296
Fresh_Fruits,06/09/2015,347014.36,27761.1488
Biscuits,06/09/2015,148613.08,34181.0084
Cakes,06/09/2015,337244.6,91056.042
Chocolates,06/09/2015,357535.64,82233.1972
Eggs,06/09/2015,131703.88,57949.7072
Cookies,4/15/2018,311692.92,59221.6548
Fresh_Vegetables,12/05/2017,239922.76,11996.138
Chicken,11/22/2016,156128.28,39032.07
Edible_Oil,11/22/2016,270547.2,18938.304
Cakes,11/11/2015,315262.64,59899.9016
Health_Drinks,5/13/2015,303801.96,21266.1372
Meat,8/27/2015,330105.16,72623.1352
Soft_Drinks,8/27/2015,130012.96,29902.9808
Health_Drinks,8/27/2015,98073.36,39229.344
Legumes,12/09/2017,178110.24,8905.512
Soft_Drinks,12/09/2017,132831.16,27894.5436
Organic_Vegetables,7/16/2018,182055.72,14564.4576
Eggs,9/25/2016,206668,93000.6
Chocolates,1/16/2017,379893.36,37989.336
Cookies,1/16/2017,101643.08,8131.4464
Biscuits,9/17/2016,183934.52,75413.1532
Soft_Drinks,9/17/2016,373505.44,164342.3936
Salt,9/17/2016,185813.32,13006.9324
Soft_Drinks,9/17/2016,346638.6,31197.474
Noodles,9/17/2016,263032,78909.6
Edible_Oil,9/17/2016,406384.44,125979.1764
Salt,9/17/2016,317329.32,63465.864
Health_Drinks,10/19/2018,151994.92,15199.492
Eggs,12/08/2017,237668.2,106950.69
Soft_Drinks,12/08/2017,175479.92,10528.7952
Organic_Vegetables,12/27/2016,254389.52,83948.5416
Fresh_Fruits,12/27/2016,328977.88,52636.4608
Chicken,12/27/2016,384214.6,165212.278
Health_Drinks,12/27/2016,124000.8,17360.112
Soft_Drinks,09/10/2018,350959.84,115816.7472
Cookies,7/17/2017,191073.96,64965.1464
Cookies,9/19/2018,434190.68,195385.806
Biscuits,03/11/2017,312444.44,137475.5536
Eggs,03/11/2017,266789.6,66697.4
Organic_Vegetables,10/20/2015,265850.2,95706.072
Noodles,6/20/2017,279565.44,114621.8304
Noodles,6/20/2017,136400.88,8184.0528
Cakes,4/18/2016,236540.92,78058.5036
Soft_Drinks,4/18/2016,169467.76,28809.5192
Soft_Drinks,4/18/2016,433251.28,103980.3072
Cakes,4/18/2016,266225.96,18635.8172
Fresh_Vegetables,12/11/2017,117800.76,34162.2204
Organic_Fruits,12/11/2017,142788.8,11423.104
