Item;Order Date;Sales;Profit
Salt;11/08/2017;1254;401.28
Health Drinks;11/08/2017;749;149.8
Flour;06/12/2017;2360;165.2
Fresh Vegetables;10/11/2016;896;89.6
Organic Staples;10/11/2016;2355;918.45
Organic Staples;06/09/2015;2305;322.7
Fresh Vegetables;06/09/2015;826;346.92
Fresh Fruits;06/09/2015;1847;147.76
Biscuits;06/09/2015;791;181.93
Cakes;06/09/2015;1795;484.65
Chocolates;06/09/2015;1903;437.69
Eggs;06/09/2015;701;308.44
Cookies;4/15/2018;1659;315.21
Fresh Vegetables;12/05/2017;1277;63.85
Chicken;11/22/2016;831;207.75
Edible Oil & Ghee;11/22/2016;1440;100.8
Cakes;11/11/2015;1678;318.82
Health Drinks;5/13/2015;1617;113.19
Meat;8/27/2015;1757;386.54
Soft Drinks;8/27/2015;692;159.16
Health Drinks;8/27/2015;522;208.8
Legumes;12/09/2017;948;47.4
Soft Drinks;12/09/2017;707;148.47
Organic Vegetables;7/16/2018;969;77.52
Eggs;9/25/2016;1100;495
Chocolates;1/16/2017;2022;202.2
Cookies;1/16/2017;541;43.28
Biscuits;9/17/2016;979;401.39
Soft Drinks;9/17/2016;1988;874.72
Salt;9/17/2016;989;69.23
Soft Drinks;9/17/2016;1845;166.05
Noodles;9/17/2016;1400;420
Edible Oil & Ghee;9/17/2016;2163;670.53
Salt;9/17/2016;1689;337.8
Health Drinks;10/19/2018;809;80.9
Eggs;12/08/2017;1265;569.25
Soft Drinks;12/08/2017;934;56.04
Organic Vegetables;12/27/2016;1354;446.82
Fresh Fruits;12/27/2016;1751;280.16
Chicken;12/27/2016;2045;879.35
Health Drinks;12/27/2016;660;92.4
Soft Drinks;09/10/2018;1868;616.44
Cookies;7/17/2017;1017;345.78
Cookies;9/19/2018;2311;1039.95
Biscuits;03/11/2017;1663;731.72
Eggs;03/11/2017;1420;355
Organic Vegetables;10/20/2015;1415;509.4
Noodles;6/20/2017;1488;610.08
Noodles;6/20/2017;726;43.56
Cakes;4/18/2016;1259;415.47
Soft Drinks;4/18/2016;902;153.34
Soft Drinks;4/18/2016;2306;553.44
Cakes;4/18/2016;1417;99.19
Fresh Vegetables;12/11/2017;627;181.83
Organic Fruits;12/11/2017;760;60.8
Flour;6/17/2017;2350;611
Fish;6/17/2017;1179;271.17
Legumes;6/17/2017;1624;194.88
Meat;6/17/2017;1316;421.12
Health Drinks;6/17/2017;2121;678.72
Salt;6/17/2017;1428;271.32
Noodles;6/17/2017;706;289.46
Fish;11/24/2016;921;184.2
Fresh Fruits;11/24/2016;1741;661.58
Eggs;11/24/2016;607;200.31
